"aggregate","management_unit","stock"
"Fraser_Yearling","Fraser_Spring_4.2","BONAPARTE"
"Fraser_Yearling","Fraser_Spring_4.2","BONAPARTE_RIVER"
"Fraser_Yearling","Fraser_Spring_4.2","COLDWATER"
"Fraser_Yearling","Fraser_Spring_4.2","COLDWATER_RIVER"
"Fraser_Yearling","Fraser_Spring_4.2","COLDWATER_RIVER-UPPER"
"Fraser_Yearling","Fraser_Spring_4.2","DEADMAN"
"Fraser_Yearling","Fraser_Spring_4.2","DEADMAN_RIVER"
"Fraser_Yearling","Fraser_Spring_4.2","DUTEAU_CR"
"Fraser_Yearling","Fraser_Spring_4.2","DUTEAU_CREEK"
"Fraser_Yearling","Fraser_Spring_4.2","LOUIS"
"Fraser_Yearling","Fraser_Spring_4.2","LOUIS_CREEK"
"Fraser_Yearling","Fraser_Spring_4.2","NICOLA"
"Fraser_Yearling","Fraser_Spring_4.2","NICOLA_RIVER"
"Fraser_Yearling","Fraser_Spring_4.2","S-NICOLA R"
"Fraser_Yearling","Fraser_Spring_4.2","SPIUS"
"Fraser_Yearling","Fraser_Spring_4.2","SPIUS CREEK H"
"Fraser_Yearling","Fraser_Spring_4.2","SPIUS_CREEK"
"Fraser_Yearling","Fraser_Spring_4.2","SPIUS_CREEK-UPPER"
"Fraser_Yearling","Fraser_Spring_4.2","U_COLDWAT_SP"
"Fraser_Yearling","Fraser_Spring_4.2","U_SPIUS_SP"
"Fraser_Yearling","Fraser_Spring_5.2","BAEZAEKO"
"Fraser_Yearling","Fraser_Spring_5.2","BAKER_CR"
"Fraser_Yearling","Fraser_Spring_5.2","BAKER_CREEK"
"Fraser_Yearling","Fraser_Spring_5.2","BIRKENHEAD"
"Fraser_Yearling","Fraser_Spring_5.2","BIRKENHEAD_RIVER"
"Fraser_Yearling","Fraser_Spring_5.2","BLUE"
"Fraser_Yearling","Fraser_Spring_5.2","BLUE_CR"
"Fraser_Yearling","Fraser_Spring_5.2","BLUE_CREEK"
"Fraser_Yearling","Fraser_Spring_5.2","BLUE_CREEK_CA"
"Fraser_Yearling","Fraser_Spring_5.2","BLUE_RIVER"
"Fraser_Yearling","Fraser_Spring_5.2","BLUECR_UPPITT"
"Fraser_Yearling","Fraser_Spring_5.2","BONNEVILLE HATCHERY"
"Fraser_Yearling","Fraser_Spring_5.2","BOWRON"
"Fraser_Yearling","Fraser_Spring_5.2","BOWRON_RIVER"
"Fraser_Yearling","Fraser_Spring_5.2","BRENNER HATCHERY"
"Fraser_Yearling","Fraser_Spring_5.2","BRIDGE"
"Fraser_Yearling","Fraser_Spring_5.2","BRIDGE_RIVER"
"Fraser_Yearling","Fraser_Spring_5.2","CARIBOO_RIVER"
"Fraser_Yearling","Fraser_Spring_5.2","CARIBOO_RIVER-UPPER"
"Fraser_Yearling","Fraser_Spring_5.2","CHILAKO"
"Fraser_Yearling","Fraser_Spring_5.2","CHILCOTIN_RIVER-LOWER"
"Fraser_Yearling","Fraser_Spring_5.2","CHILCOTIN_RIVER-UPPER"
"Fraser_Yearling","Fraser_Spring_5.2","COTTONWOOD"
"Fraser_Yearling","Fraser_Spring_5.2","COTTONWOOD_RIVER_LOWER"
"Fraser_Yearling","Fraser_Spring_5.2","DOME"
"Fraser_Yearling","Fraser_Spring_5.2","DOME_CREEK"
"Fraser_Yearling","Fraser_Spring_5.2","EAGLE_R"
"Fraser_Yearling","Fraser_Spring_5.2","EAGLE_RIVER"
"Fraser_Yearling","Fraser_Spring_5.2","ENDAKO"
"Fraser_Yearling","Fraser_Spring_5.2","ENDAKO_RIVER"
"Fraser_Yearling","Fraser_Spring_5.2","FINN"
"Fraser_Yearling","Fraser_Spring_5.2","FINN_CREEK"
"Fraser_Yearling","Fraser_Spring_5.2","FONTONIKO"
"Fraser_Yearling","Fraser_Spring_5.2","FONTONIKO_CREEK"
"Fraser_Yearling","Fraser_Spring_5.2","GOAT"
"Fraser_Yearling","Fraser_Spring_5.2","GOAT_CR"
"Fraser_Yearling","Fraser_Spring_5.2","GOAT_RIVER"
"Fraser_Yearling","Fraser_Spring_5.2","HOLMES"
"Fraser_Yearling","Fraser_Spring_5.2","HOLMES_RIVER"
"Fraser_Yearling","Fraser_Spring_5.2","HORSEFLY"
"Fraser_Yearling","Fraser_Spring_5.2","HORSEFLY_RIVER"
"Fraser_Yearling","Fraser_Spring_5.2","HORSEY"
"Fraser_Yearling","Fraser_Spring_5.2","HORSEY_CREEK"
"Fraser_Yearling","Fraser_Spring_5.2","INDIANPOINT"
"Fraser_Yearling","Fraser_Spring_5.2","INDIANPOINT_CREEK"
"Fraser_Yearling","Fraser_Spring_5.2","JAMES"
"Fraser_Yearling","Fraser_Spring_5.2","KENNETH_CR"
"Fraser_Yearling","Fraser_Spring_5.2","KENNETH_CREEK"
"Fraser_Yearling","Fraser_Spring_5.2","L_CHILCOTI"
"Fraser_Yearling","Fraser_Spring_5.2","MCGREGOR"
"Fraser_Yearling","Fraser_Spring_5.2","MCGREGOR_RIVER"
"Fraser_Yearling","Fraser_Spring_5.2","MORKILL"
"Fraser_Yearling","Fraser_Spring_5.2","MORKILL_RIVER"
"Fraser_Yearling","Fraser_Spring_5.2","NAZKO"
"Fraser_Yearling","Fraser_Spring_5.2","NECHAKO"
"Fraser_Yearling","Fraser_Spring_5.2","PITT_RIVER-UPPER"
"Fraser_Yearling","Fraser_Spring_5.2","PTARMIGAN"
"Fraser_Yearling","Fraser_Spring_5.2","PTARMIGAN_CREEK"
"Fraser_Yearling","Fraser_Spring_5.2","SALMON@PG"
"Fraser_Yearling","Fraser_Spring_5.2","SALMON_RIVER"
"Fraser_Yearling","Fraser_Spring_5.2","SALMON_RIVER(THOM)"
"Fraser_Yearling","Fraser_Spring_5.2","SALMON_RIVER_SOTH"
"Fraser_Yearling","Fraser_Spring_5.2","SEYMOUR@THOMP"
"Fraser_Yearling","Fraser_Spring_5.2","SEYMOUR_RIVER"
"Fraser_Yearling","Fraser_Spring_5.2","SLIM_C"
"Fraser_Yearling","Fraser_Spring_5.2","SLIM_CREEK"
"Fraser_Yearling","Fraser_Spring_5.2","SWIFT"
"Fraser_Yearling","Fraser_Spring_5.2","SWIFT_CREEK"
"Fraser_Yearling","Fraser_Spring_5.2","TASEKO"
"Fraser_Yearling","Fraser_Spring_5.2","TETE_JAUNE"
"Fraser_Yearling","Fraser_Spring_5.2","TORPY"
"Fraser_Yearling","Fraser_Spring_5.2","TORPY_RIVER"
"Fraser_Yearling","Fraser_Spring_5.2","U_CARIBOO"
"Fraser_Yearling","Fraser_Spring_5.2","U_CHILCOTIN"
"Fraser_Yearling","Fraser_Spring_5.2","UPPER_PITT"
"Fraser_Yearling","Fraser_Spring_5.2","WALKER_CREEK"
"Fraser_Yearling","Fraser_Spring_5.2","WEST_ROAD_(BLACKWATER)_RIVER"
"Fraser_Yearling","Fraser_Spring_5.2","WEST_ROAD__BLACKWATER_RIVER"
"Fraser_Yearling","Fraser_Spring_5.2","WEST_ROAD_BLACKWATER_RIVER"
"Fraser_Yearling","Fraser_Spring_5.2","WESTROAD"
"Fraser_Yearling","Fraser_Spring_5.2","WHITEHORSE POND"
"Fraser_Yearling","Fraser_Spring_5.2","WILLOW_R"
"Fraser_Yearling","Fraser_Spring_5.2","WILLOW_RIVER"
"Fraser_Yearling","Fraser_Summer_5.2","BARRIERE"
"Fraser_Yearling","Fraser_Summer_5.2","BARRIERE_RIVER"
"Fraser_Yearling","Fraser_Summer_5.2","BIG_SILVER"
"Fraser_Yearling","Fraser_Summer_5.2","BIG_SILVER_CREEK"
"Fraser_Yearling","Fraser_Summer_5.2","CHILKO"
"Fraser_Yearling","Fraser_Summer_5.2","CHILKO_RIVER"
"Fraser_Yearling","Fraser_Summer_5.2","CLEARWATER"
"Fraser_Yearling","Fraser_Summer_5.2","CLEARWATER_RIVER"
"Fraser_Yearling","Fraser_Summer_5.2","ELKIN_CREEK"
"Fraser_Yearling","Fraser_Summer_5.2","ELKIN_R"
"Fraser_Yearling","Fraser_Summer_5.2","KUZKWA_CR"
"Fraser_Yearling","Fraser_Summer_5.2","KUZKWA_RIVER"
"Fraser_Yearling","Fraser_Summer_5.2","L_CARIBOO"
"Fraser_Yearling","Fraser_Summer_5.2","LEMIEUX_CR"
"Fraser_Yearling","Fraser_Summer_5.2","LEMIEUX_CREEK"
"Fraser_Yearling","Fraser_Summer_5.2","N_THOM@MAIN"
"Fraser_Yearling","Fraser_Summer_5.2","NECHAKO_RIVER"
"Fraser_Yearling","Fraser_Summer_5.2","QUESNEL"
"Fraser_Yearling","Fraser_Summer_5.2","QUESNEL_RIVER"
"Fraser_Yearling","Fraser_Summer_5.2","RAFT_R"
"Fraser_Yearling","Fraser_Summer_5.2","RAFT_RIVER"
"Fraser_Yearling","Fraser_Summer_5.2","S-CHILKO R"
"Fraser_Yearling","Fraser_Summer_5.2","SLOQUET_CR"
"Fraser_Yearling","Fraser_Summer_5.2","SLOQUET_CREEK"
"Fraser_Yearling","Fraser_Summer_5.2","STUART"
"Fraser_Yearling","Fraser_Summer_5.2","STUART_RIVER"
"Fraser_Yearling","Fraser_Summer_5.2","TASEKO_RIVER"
"Fraser_Summer_4.1","Fraser_Summer_4.1","ADAMS_RIVER"
"Fraser_Summer_4.1","Fraser_Summer_4.1","BESSETTE"
"Fraser_Summer_4.1","Fraser_Summer_4.1","BESSETTE_CREEK"
"Fraser_Summer_4.1","Fraser_Summer_4.1","GEORGE ADAMS HATCHERY"
"Fraser_Summer_4.1","Fraser_Summer_4.1","GEORGE_ADAMS_H"
"Fraser_Summer_4.1","Fraser_Summer_4.1","L_ADAMS"
"Fraser_Summer_4.1","Fraser_Summer_4.1","L_SHUS@U_ADAMS"
"Fraser_Summer_4.1","Fraser_Summer_4.1","L_SHUSWAP"
"Fraser_Summer_4.1","Fraser_Summer_4.1","L_THOMPSON"
"Fraser_Summer_4.1","Fraser_Summer_4.1","LITTLE"
"Fraser_Summer_4.1","Fraser_Summer_4.1","LITTLE_R"
"Fraser_Summer_4.1","Fraser_Summer_4.1","LITTLE_RIVER"
"Fraser_Summer_4.1","Fraser_Summer_4.1","M_SHUSWAP"
"Fraser_Summer_4.1","Fraser_Summer_4.1","MARIA_SLOUGH"
"Fraser_Summer_4.1","Fraser_Summer_4.1","NORTH_THOMPSON_RIVER"
"Fraser_Summer_4.1","Fraser_Summer_4.1","S-SALMON R/TOMF"
"Fraser_Summer_4.1","Fraser_Summer_4.1","S-SHUSWAP R LOW"
"Fraser_Summer_4.1","Fraser_Summer_4.1","S-SHUSWAP R MIDDLE"
"Fraser_Summer_4.1","Fraser_Summer_4.1","SALMON@SA"
"Fraser_Summer_4.1","Fraser_Summer_4.1","SHUSWAP RIVER, MIDDLE, H"
"Fraser_Summer_4.1","Fraser_Summer_4.1","SHUSWAP_RIVER-LOWER"
"Fraser_Summer_4.1","Fraser_Summer_4.1","SHUSWAP_RIVER-MIDDLE"
"Fraser_Summer_4.1","Fraser_Summer_4.1","SOUTH_THOM"
"Fraser_Summer_4.1","Fraser_Summer_4.1","SOUTH_THOMPSON_RIVER"
"Fraser_Summer_4.1","Fraser_Summer_4.1","THOMPSON_RIVER_BELOW_KAMLOOPS_LAKE"
"Fraser_Fall","Fraser_Fall","CHILLIWAC@STAV"
"Fraser_Fall","Fraser_Fall","CHILLIWACK RIVER H"
"Fraser_Fall","Fraser_Fall","CHILLIWACK_F"
"Fraser_Fall","Fraser_Fall","CHILLIWACK_RIVER_FALL"
"Fraser_Fall","Fraser_Fall","CHILLIWACK_RIVER_SUMMER"
"Fraser_Fall","Fraser_Fall","CHILLIWACK_VEDDER_RIVER"
"Fraser_Fall","Fraser_Fall","FINCH CR     16.0222"
"Fraser_Fall","Fraser_Fall","H-CHILLIWACK RIVER H"
"Fraser_Fall","Fraser_Fall","HARRISON"
"Fraser_Fall","Fraser_Fall","HARRISON_RIVER"
"Fraser_Fall","Fraser_Fall","INCH CREEK H"
"Fraser_Fall","Fraser_Fall","NAHATLATCH_RIVER"
"Fraser_Fall","Fraser_Fall","NICOMEKL_RIVER"
"Fraser_Fall","Fraser_Fall","PORTAGE_C"
"Fraser_Fall","Fraser_Fall","PORTAGE_CREEK"
"Fraser_Fall","Fraser_Fall","S-CHILLIWACK R"
"Fraser_Fall","Fraser_Fall","S-HARRISON R"
"Fraser_Fall","Fraser_Fall","S-INCH CR"
"Fraser_Fall","Fraser_Fall","STAVE_RIVER"
