"stock","agg"
"LITTLE_CAMPBELL_R","BB"
"NICOMEKL_R","BB"
"SNOOTLI_CR","BCD"
"SALLOOMT_R","BCD"
"HAGENSBORG_SL","BCD"
"THORSEN_CR_CCST","BCD"
"KOOTOWIS_CR","CLAY"
"CYPRE_R","CLAY"
"TRANQUIL_CR","CLAY"
"BINGHAM_CR_HATCHERY","COWA"
"WILLAPA_R","COWA"
"QUILLAYUTE","COWA"
"CLEARWATER_CR","COWA"
"SHALE_H","COWA"
"LEWIS_R_HATCH","CR"
"COWLITZ_R_HATCHERY","CR"
"CLACKAMUS_R","CR"
"BONNEVILLE_HATCHERY","CR"
"BING_CR_HATCHERY","CR"
"KITIMAT_R","DOUG"
"PALLANT_CR","EHG"
"DEENA_CR","EHG"
"GOLDSTREAM_R","EVI+GStr"
"BIG_QUALICUM_R","EVI+GStr"
"PUNTLEDGE_R","EVI+GStr"
"SOOKE_R","EVI+GStr"
"QUINSAM_R","EVI+GStr"
"TRENT_R","EVI+GStr"
"COWICHAN_R","EVI+GStr"
"NANAIMO_R","EVI+GStr"
"ROSEWALL_CR","EVI+GStr"
"SORENSON_CR","EVI+SFj"
"NATHAN_CR_VI","EVI+SFj"
"HOMATHKO_R","HK"
"DEWATTO_R_HOOD_CANAL","HOOD"
"QUILCENE_R","HOOD"
"QUAAL_R","HecLow+HStr"
"TANKEEAH_R","HecLow+HStr"
"SHOVELNOSE_CR","Howe-Burrard"
"MAMQUAM_R","Howe-Burrard"
"TENDERFOOT_CR","Howe-Burrard"
"CAPILANO_R","Howe-Burrard"
"GATES_CR","IntrFR"
"MCKINLEY_CR","IntrFR"
"CHILKO_R","IntrFR"
"DUNGENESS_H","JUAN"
"ELWHA_R","JUAN"
"NITINAT_R","JdF"
"CHILLIWACK_R","LFR"
"CHEHALIS_R","LFR"
"POST_CR","LFR"
"NORRISH_CR","LFR"
"STAVE_R","LFR"
"SILVERDALE_CR","LFR"
"ALOUETTE_R_S","LFR"
"HICKS_CR","LFR"
"WORTH_CR","LFR"
"CHILQUA_CR","LFR"
"SALMON_CR","LILL"
"UPPER_BIRKENHEAD_R","LILL"
"BIRKENHEAD_R","LILL"
"SAMPSON_CR","LILL"
"TSEAX_R","LNASS"
"COLDWATER_R","LTHOM"
"BONAPARTE_R","LTHOM"
"CLE_ELUM_HATCHERY","MCR-Sp"
"MINTER_CR","MPS"
"ISSAQUAH_CR","MPS"
"KILTUISH_R","NCS"
"HUGH_CR","NCS"
"DRAKE_CR","NCS"
"KHUTZE_R","NCS"
"AALTANHASH_R","NCS"
"EVELYN_CR","NCS"
"NOOKSACK_SF","NOWA"
"GRIZZLY_R","NPS"
"BIRCH_ISLAND_CHANNEL","NTHOM"
"DUNN_CR","NTHOM"
"BARRIERE_R","NTHOM"
"FENNELL_CR","NTHOM"
"LYON_CR","NTHOM"
"AVOLA_CR","NTHOM"
"GOODSPEED_R","Nahwitti"
"KEOGH_R","Nahwitti"
"STEPHENS_CR","Nahwitti"
"QUATSESE_R","Nahwitti"
"GLENLION_R","Nahwitti"
"NAHWITTI_R","Nahwitti"
"UMPQUA_R","OR"
"NEECHANZE_R","Rivers"
"SHEEMAHANT_R","Rivers"
"KILBELLA_R","Rivers"
"KAKWEIKEN_R","SC+SFj"
"AHNUHATI_R","SC+SFj"
"PHILLIPS_R","SC+SFj"
"WAKEMAN_R","SC+SFj"
"HEYDON_CR","SC+SFj"
"SEYMOUR_R_JNST","SC+SFj"
"MARBLEMOUNT_H","SKAG"
"JONES_CR","SKAG"
"WHITE_R","SPS"
"NISQUALLY_R","SPS"
"PUYALLUP_R","SPS"
"SECECH_RIVER","SR-SpSu"
"BESSETTE_CR","STHOM"
"SHUSWAP_R_MIDDLE","STHOM"
"HARBOUR_CR","STHOM"
"MOMICH_R","STHOM"
"NEKITE_CH","Smith"
"ENTIAT_RIVER","UCR-Sp"
"CHEWUCH_RIVER","UCR-Sp"
"ROBERTSON_CR","WVI"
"CONUMA_R","WVI"
"KENNEDY_R_UP","WVI"
"THORNTON_CR","WVI"
